epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,9839.88,0.60472,0.36678,0.96687,1,0.99828,0.995,0.96108,0.34923,0.1779,0.8106,0.00142,0.00142,0.00142
106,9934.13,0.62179,0.37428,0.96868,1,0.99829,0.995,0.96111,0.34818,0.17685,0.81046,0.0013375,0.0013375,0.0013375
107,10028.4,0.60784,0.36331,0.95966,0.99945,0.99896,0.995,0.96122,0.34643,0.17657,0.81014,0.001255,0.001255,0.001255
108,10123.1,0.61935,0.37385,0.96713,0.99942,0.99896,0.995,0.96131,0.34611,0.17648,0.80991,0.0011725,0.0011725,0.0011725
109,10218.1,0.59129,0.35539,0.95162,0.99964,0.99792,0.995,0.96155,0.34638,0.17616,0.80989,0.00109,0.00109,0.00109
110,10313.2,0.60077,0.36023,0.95747,0.9996,0.99792,0.995,0.96162,0.34659,0.17618,0.80999,0.0010075,0.0010075,0.0010075
111,10406.5,0.46581,0.26467,0.86679,0.99936,0.99896,0.995,0.9618,0.3453,0.17577,0.80941,0.000925,0.000925,0.000925
112,10497.8,0.45898,0.25963,0.86969,0.99937,0.99896,0.995,0.96211,0.34425,0.17537,0.80915,0.0008425,0.0008425,0.0008425
113,10589.1,0.45269,0.25325,0.86606,1,0.99825,0.995,0.9622,0.34334,0.17557,0.8089,0.00076,0.00076,0.00076
114,10681,0.45473,0.25319,0.86795,1,0.99826,0.995,0.96218,0.34277,0.17477,0.80876,0.0006775,0.0006775,0.0006775
115,10772.7,0.44633,0.25579,0.86341,0.99952,0.99844,0.995,0.96267,0.34275,0.17447,0.80877,0.000595,0.000595,0.000595
116,10864.1,0.44829,0.24806,0.8598,0.99935,0.99844,0.995,0.96255,0.34229,0.17406,0.80853,0.0005125,0.0005125,0.0005125
117,10955.5,0.43405,0.24395,0.85944,0.99931,0.99844,0.995,0.96298,0.34235,0.17452,0.80845,0.00043,0.00043,0.00043
118,11047.5,0.43878,0.24344,0.85906,0.99885,0.99896,0.995,0.96304,0.342,0.17419,0.80832,0.0003475,0.0003475,0.0003475
119,11138.8,0.43397,0.23964,0.85577,0.99885,0.99896,0.995,0.96305,0.34167,0.1738,0.80811,0.000265,0.000265,0.000265
120,11230.1,0.42832,0.23766,0.85529,0.99885,0.99896,0.995,0.96294,0.34179,0.17362,0.808,0.0001825,0.0001825,0.0001825
